Name,YEAR,MCP.95,KDE.95,KDE.50,Centroid.X,Centroid.Y,DIST,NDVI,ACT,HFI,RAIN.SEA,RAIN.TOT,TEMP.SEA,Sex,Region
Orembo,2,226.3352437,320.933382,63.2185701,546235.9748,9778331.059,2768.957023,0.807852321,0.588257153,7,76.77494535,1776.276667,150.6626171,Male,Loango
Tonda,1,181.1479436,290.2328013,66.89864746,544784.2545,9779078.484,3257.638273,0.819430167,0.670388289,7,76.92494673,1780.966387,150.1218368,Female,Loango
Tonda,2,256.8204105,262.2294963,52.41400619,546720.5423,9779489.301,3292.139924,0.819430167,0.675488499,7,76.86165284,1782.004566,150.0316444,Female,Loango
BraBrou,1,368.6249859,227.2359026,32.35843609,555287.3581,9961714.238,2647.374667,0.761405363,0.685139472,7.70260223,72.4116307,2332.90458,111.9492036,Male,Wonga Wongue
BraBrou,2,290.3657894,224.4302404,29.05901094,557286.5252,9962752.77,2528.870349,0.767105296,0.631701062,7.18490566,72.34907352,2341.843284,112.2362026,Male,Wonga Wongue
Malaika,1,426.8643112,349.3323859,70.42632511,560765.8318,9945676.196,2719.717965,0.809550855,0.610320714,9.915048544,73.14780872,2261.076167,114.8944821,Female,Wonga Wongue
Malaika,2,373.0731427,329.9330011,68.73878672,559906.2153,9945213.112,3107.869332,0.807686122,0.692510485,9.751282051,73.15420676,2258.55814,114.9439426,Female,Wonga Wongue
Boniface,1,239.7571559,231.8116434,35.50520637,564707.8485,9781709.99,2775.687046,0.787640774,0.5380588,1.61038961,75.6361448,1801.97048,151.3041683,Male,Loango
Boniface,2,200.8287836,201.5214657,40.32345646,563929.1038,9782246.665,2685.938242,0.815767869,0.522958846,1.9,75.74691369,1796.391667,151.6356845,Male,Loango
Ekare,1,52.11966067,39.71166002,4.810612875,573707.5203,9752739.713,1724.815562,0.793670707,0.225898744,9.458333333,75.97298821,1748.425532,154.7714227,Male,Loango
Marijo,1,236.51675,262.227015,45.53268021,884278.6782,9973313.1,1752.306207,0.785007058,0.351856594,5.656862745,63.32765033,1651.477273,95.12691661,Female,Ivindo
Marijo,2,250.5337236,233.0608591,46.50840471,883586.6482,9972093.051,1557.425758,0.790388545,0.285625389,5.893772894,63.38196142,1645.011194,95.27826528,Female,Ivindo
Janice,1,149.8887534,141.165203,31.85894672,889416.2704,9978159.094,2326.347393,0.803213994,0.534016286,3.392857143,62.98950556,1676.509202,94.82438608,Female,Ivindo
Janice,2,129.3815041,113.0380019,20.32493971,889560.8329,9978637.911,1668.7904,0.794281437,0.29584073,3.488888889,63.00817549,1672.518519,94.91557448,Female,Ivindo
Rose_Loango,1,275.4420227,421.97768,73.2829791,547602.3935,9777184.098,2112.880925,0.8089047,0.421419138,7,76.74193305,1780.270893,151.0880319,Female,Loango
Rose_Loango,2,300.7378119,403.6761196,70.15565064,547726.4666,9777724.044,2313.80864,0.809755982,0.47811608,7,76.71819155,1781.656716,151.3492274,Female,Loango
Abu,1,449.8357752,697.455782,96.8672953,564620.9444,9749409.217,2670.217747,0.787763001,0.484345997,8.129973475,77.07777337,1726.386905,154.9980232,Male,Loango
Abu,2,447.211962,692.4393547,89.98240024,563656.2642,9751086.057,2896.536346,0.793287194,0.545644685,8.205333333,77.06119131,1726.406883,154.9453441,Male,Loango
Mpemba,1,56.13823229,61.08669398,15.46159586,546279.94,9776491.597,2465.478088,0.811854385,0.599516616,7,77.03331661,1775.035714,148.921224,Female,Loango
Mpemba,2,50.42599258,56.58405458,15.55373482,546565.0894,9776431.595,2629.870353,0.848508429,0.636965683,7,76.9783543,1776.927273,148.4649117,Female,Loango
Keva,1,48.21628161,49.69400873,11.6900226,539501.9404,9785665.035,3233.249532,0.83,0.705481995,7,76.77793489,1797.142857,149.3421816,Female,Loango
Keva,2,50.03730259,44.82969949,8.579466971,539785.807,9785250.203,3436.014407,0.83,0.749659527,7,76.69377376,1799.833333,149.3325458,Female,Loango
Ta_a,1,103.5091077,75.67257804,9.825283292,903959.4851,9989135.894,1875.312341,0.705259887,0.407661957,3,62.11000577,1659.153846,93.69904,Male,Ivindo
Ta_a,2,85.68877407,63.61075762,10.75218507,901934.3904,9987388.182,1618.384329,0.719124915,0.279599159,3,62.15058311,1655.5,93.71980487,Male,Ivindo
Tonnere,1,954.3948072,800.5986468,170.5580207,554414.8557,9944752.383,3106.896369,0.813127618,0.694277108,13.41195304,73.13210983,2244.785563,115.7942815,Male,Wonga Wongue
Tonnere,2,991.1586167,791.7792235,96.37300069,558633.5759,9945250.415,2948.477854,0.802418434,0.669141302,11.8934338,73.25196161,2248.224138,116.5606732,Male,Wonga Wongue
Kigali,1,254.6077431,237.0988609,60.68706596,561920.462,9942259.474,2978.92041,0.807026539,0.651610515,10.61290323,73.11589275,2258.44964,113.3257022,Male,Wonga Wongue
Kigali,2,343.1749432,279.3659052,62.46551821,561647.8686,9943846.195,3249.253158,0.805741227,0.694268293,10.09726444,73.10747775,2261.311927,113.3500475,Male,Wonga Wongue
Onero,1,112.5803478,89.93770033,19.1900679,564019.4862,9779845.169,2560.035293,0.820547106,0.498917749,1.219512195,75.82853456,1795.775701,150.9348746,Male,Loango
Izouwa,1,46.26142085,41.15473143,9.133297457,571906.7418,9751521.907,2516.062556,0.780201852,0.485887629,9,76.03442987,1749.9375,154.8425671,Female,Loango
Izouwa,2,56.38162252,45.09012937,10.40880844,571583.4386,9751805.373,2671.866802,0.780201852,0.558730577,9,76.08780949,1748.884615,154.9724664,Female,Loango
Nzamba,1,287.1043721,256.6023047,57.92959918,909003.2893,10062978.35,1878.410633,0.780331946,0.368036299,14.06397306,61.91634689,1652.411371,93.0624335,Male,Ivindo
Annabelle_ww,1,15.1659966,16.78348292,4.041729052,535106.1913,9966864.594,2520.81025,0.807650617,0.634064885,19.625,72.88210487,2256.8,113.6861034,Female,Wonga Wongue
Ngele,1,20.19646845,23.44713303,4.567011786,538395.5713,9993121.202,3012.59623,0.786088158,0.717147537,14,71.70076328,2392.074074,109.5224595,Female,Wonga Wongue
Moukalaba,1,186.2943598,152.0306099,25.32697196,674307.5256,9728886.796,1908.196448,0.78114326,0.490966412,10.52023121,75.52523587,1704.448864,142.4568671,Female,Moukalaba Doudou
Dedi,1,132.1685833,103.9671887,21.17796757,631930.8305,9790206.441,2015.214776,0.759701389,0.513801757,1.403361345,74.62263838,1790.933333,147.7268276,Female,Moukalaba Doudou
Penelope,1,1045.628039,377.7036527,32.4657567,663870.221,9735314.609,1800.773775,0.782910406,0.293717152,8.684931507,75.51796734,1725.809417,146.5223775,Female,Moukalaba Doudou
Megane,1,240.1554669,306.3439072,81.67166999,656772.1367,9661153.828,2954.324607,0.775368283,0.619745376,13.13793103,79.22851087,1547.207792,151.0624281,Female,Moukalaba Doudou
Beti,1,194.5698212,300.5365161,51.15764606,538410.479,10022611.79,2365.387021,0.741824278,0.52632234,19.53571429,69.9785266,2569.607306,107.4100596,Male,Wonga Wongue
Stephanie,1,112.8437647,110.2254465,24.5186966,541121.8257,9982362.95,2864.55364,0.822014375,0.716343766,14,71.82333278,2367.739496,109.7010447,Female,Wonga Wongue
Doudou,1,227.4255318,236.4470605,47.07361596,676680.1136,9727767.088,1950.456373,0.7743022,0.498784638,10.40860215,75.66143132,1693.553957,142.5654144,Female,Moukalaba Doudou
Dumbo,1,281.2515727,205.9174831,28.23397786,569334.4731,9787149.857,2855.407757,0.776620488,0.585120124,1.18852459,75.29433255,1817.084034,150.2429625,Male,Loango
Kalie,1,156.8407686,119.2386235,26.04429047,563764.0188,9781882.752,2818.988099,0.800844811,0.651393107,1,75.69289709,1802.157143,150.7994287,Male,Loango
Program,1,436.3324782,333.5330682,39.23554947,668020.834,9733271.225,1891.124978,0.803383636,0.420372852,9.241558442,75.35111579,1729.628866,145.0138151,Female,Moukalaba Doudou
Estell,1,168.0892735,279.6955206,60.51375863,546374.3003,9776492.288,2166.189156,0.800569744,0.549222183,7,76.96843764,1773.4,151.1456665,Female,Loango
Amelia,1,104.9391715,110.6774528,24.35475833,920515.1618,10058010.74,1420.495135,0.804859375,0.258599046,15.63779528,61.62096551,1644.969466,91.73994661,Female,Ivindo
