Name,Station,Code
2017-07-14 10.04.00_00113.AVI,CT02,nothing
2017-07-14 10.59.36_00114.AVI,CT02,nothing
2017-07-15 22.28.30_00115.AVI,CT02,nothing
2017-07-16 08.09.12_00116.AVI,CT02,nothing
2017-07-16 08.22.10_00117.AVI,CT02,nothing
2017-07-16 20.40.10_00118.AVI,CT02,nothing
2017-07-20 01.10.56_00119.AVI,CT02,nothing
2017-07-20 19.14.20_00120.AVI,CT02,nothing
2017-08-01 16.34.42_00121.AVI,CT02,nothing
2017-08-02 20.08.14_00122.AVI,CT02,nothing
2017-08-03 05.47.56_00123.AVI,CT02,nothing
2017-08-03 05.54.42_00124.AVI,CT02,nothing
2017-08-04 16.31.26_00125.AVI,CT02,nothing
2017-08-08 16.27.08_00126.AVI,CT02,nothing
2017-08-13 09.23.40_00127.AVI,CT02,nothing
2017-08-15 06.04.18_00128.AVI,CT02,nothing
2017-08-15 11.29.56_00129.AVI,CT02,nothing
2017-08-17 10.41.02_00130.AVI,CT02,nothing
2017-05-01 23.32.20_00131.AVI,CT02,opossum_foureyed
2017-05-09 23.03.14_00132.AVI,CT02,opossum_foureyed
2017-05-20 23.21.48_00133.AVI,CT02,opossum_foureyed
2017-06-02 02.15.14_00134.AVI,CT02,opossum_foureyed
2017-08-08 22.51.58_00135.AVI,CT02,opossum_foureyed
2017-07-15 02.21.38_00136.AVI,CT02,opossum_uid
2017-07-07 22.12.08_00137.AVI,CT02,opossum_water
2017-05-01 23.14.56_00138.AVI,CT02,paca
2017-05-04 03.27.40_00139.AVI,CT02,paca
2017-05-07 03.52.22_00140.AVI,CT02,paca
2017-05-10 21.20.18_00141.AVI,CT02,paca
2017-05-12 22.25.36_00142.AVI,CT02,paca
2017-05-13 22.45.52_00143.AVI,CT02,paca
2017-05-17 20.22.24_00144.AVI,CT02,paca
2017-05-20 02.30.20_00145.AVI,CT02,paca
2017-05-21 23.15.48_00146.AVI,CT02,paca
2017-05-26 01.00.14_00147.AVI,CT02,paca
