Station,latitude,longitude,habitat_type,trail,river_dist,ocean_dist,road_dist,trail_dist,altitude,canopy_cover,canopy_height,Y,X
CT44,"N08°24'58.1""","W083°19'28.3""",plantation,off,204,2617,887,26,242,64.24,10.925,8.416138889,-83.32452778
CT46,"N08°24'47.0""","W083°18'58.5""",plantation,off,121,2623,76,375,300,49.74,17.294,8.413055556,-83.31625
CT47,"N08°24'39.6""","W083°18'41.8""",plantation,off,188,2723,30,591,317,61.45,7.702,8.411,-83.31161111
CT50,"N08°25'30.8""","W083°20'05.5""",primary ,off,155,3207,760,150,95,51.21,15.451,8.425222222,-83.33486111
CT52,"N08°25'17.5""","W083°19'37.9""",plantation,off,213,3088,1368,5,305,37.29,8.71,8.421527778,-83.32719444
CT53,"N08°25'11.6""","W083°19'21.5""",primary,off,52,3078,839,206,207,60.59,14.369,8.419888889,-83.32263889
CT55,"N08°25'03.1""","W083°18'51.2""",plantation,off,273,3165,152,21,300,72.26,12.334,8.417527778,-83.31422222
CT59,"N08°25'44.5""","W083°19'41.1""",secondary ,off,901,3845,1520,17,295,90.18,15.222,8.429027778,-83.32808333
CT60,"N08°25'35.4""","W083°19'30.7""",primary,on,570,3680,1522,6,290,65.87,12.986,8.4265,-83.32519444
CT61,"N08°25'27.7""","W083°19'15.5""",primary,off,409,3605,1042,8,317,35.98,17.093,8.424361111,-83.32097222
CT62,"N08°25'22.0""","W083°19'00.1""",primary,off,623,3587,686,16,296,85.41,18.706,8.422777778,-83.31669444
